iter	Passed	Remaining
701	10668	34923
702	10684	34909
703	10699	34895
704	10713	34875
705	10726	34852
706	10740	34833
707	10754	34815
708	10770	34801
709	10783	34782
710	10800	34770
711	10812	34746
712	10828	34732
713	10844	34719
714	10872	34747
715	10888	34732
716	10904	34720
717	10920	34707
718	10934	34690
719	10948	34671
720	10962	34651
721	10976	34630
722	10989	34609
723	11005	34598
724	11019	34577
725	11032	34556
726	11046	34537
727	11060	34517
728	11073	34497
729	11087	34476
730	11100	34456
731	11110	34424
732	11124	34406
733	11137	34382
734	11151	34363
735	11165	34344
736	11181	34331
737	11196	34318
738	11211	34301
739	11226	34287
740	11240	34268
741	11254	34248
742	11267	34225
743	11283	34213
744	11295	34191
745	11310	34175
746	11324	34156
747	11338	34138
748	11353	34121
749	11368	34105
750	11383	34088
751	11397	34069
752	11414	34060
753	11428	34042
754	11443	34028
755	11457	34008
756	11473	33994
757	11485	33970
758	11499	33954
759	11515	33941
760	11528	33920
761	11542	33901
762	11558	33888
763	11572	33869
764	11590	33861
765	11603	33842
766	11622	33835
767	11634	33813
768	11650	33798
769	11664	33782
770	11680	33768
771	11693	33747
772	11706	33725
773	11721	33710
774	11736	33696
775	11753	33684
776	11768	33670
777	11784	33657
778	11799	33642
779	11812	33621
780	11826	33603
781	11842	33589
782	11859	33577
783	11873	33562
784	11889	33547
785	11902	33527
786	11918	33514
787	11934	33501
788	11948	33483
789	11962	33466
790	11978	33452
791	11994	33440
792	12009	33423
793	12025	33409
794	12038	33390
795	12054	33375
796	12072	33370
797	12086	33351
798	12101	33335
799	12117	33323
800	12131	33306
801	12147	33290
802	12161	33273
803	12176	33257
804	12190	33238
805	12203	33218
806	12218	33202
807	12232	33186
808	12248	33172
809	12262	33155
810	12279	33143
811	12296	33134
812	12310	33116
813	12326	33103
814	12341	33086
815	12355	33069
816	12370	33054
817	12385	33039
818	12401	33025
819	12415	33007
820	12430	32991
821	12446	32978
822	12462	32964
823	12475	32946
824	12495	32942
825	12510	32926
826	12526	32914
827	12541	32897
828	12555	32880
829	12568	32858
830	12582	32840
831	12598	32827
832	12612	32810
833	12626	32793
834	12641	32775
835	12656	32761
836	12672	32748
837	12686	32729
838	12701	32714
839	12715	32696
840	12729	32679
841	12745	32666
